item	cond	subject	rt	region.id	correct_answer	accuracy
10	b	1m5	296	Adv	Y	1
10	b	1m5	250	DE	Y	1
10	b	1m5	250	hd4	Y	1
10	b	1m5	313	Det+CL	Y	1
10	b	1m5	266	hd2	Y	1
10	b	1m5	250	hd5	Y	1
10	b	1m5	282	FreqP	Y	1
10	b	1m5	281	hd1	Y	1
10	b	1m5	359	hd3	Y	1
10	b	1m5	297	VN	Y	1
10	b	1m9	2484	hd5	Y	1
10	b	1m9	969	FreqP	Y	1
10	b	1m9	375	DE	Y	1
10	b	1m9	2625	hd4	Y	1
10	b	1m9	437	hd2	Y	1
10	b	1m9	625	Det+CL	Y	1
10	b	1m9	844	VN	Y	1
10	b	1m9	2360	hd3	Y	1
10	b	1m9	922	Adv	Y	1
10	b	1m9	1500	hd1	Y	1
10	b	1m9	438	head	Y	1
10	b	2m1	360	hd1	Y	1
10	b	2m1	422	FreqP	Y	1
10	b	2m1	360	Det+CL	Y	1
10	b	2m1	328	head	Y	1
10	b	2m1	453	hd5	Y	1
10	b	2m1	344	DE	Y	1
10	b	2m1	359	hd4	Y	1
10	b	2m1	312	Adv	Y	1
10	b	2m1	407	hd3	Y	1
10	b	2m1	265	hd2	Y	1
10	b	2m1	328	VN	Y	1
10	b	2m13	469	Det+CL	Y	1
10	b	2m13	390	hd4	Y	1
10	b	2m13	641	FreqP	Y	1
10	b	2m13	375	Adv	Y	1
10	b	2m13	281	hd2	Y	1
10	b	2m13	312	DE	Y	1
